medical_abstract,ans,question
"A prospective study of double diagnosis of nonpalpable lesions of the breast. Approximately three-fourths of open biopsies of the breast performed for mammographically detected suspicious lesions are shown histologically to be benign. Under the narrow conditions described herein, stereotaxic fine-needle aspiration (FNA) can identify these lesions with an accuracy of more than 90 per cent and a false-negative rate of 5 per cent. In an effort to reduce this failure rate, the mammographic appearance and stereotaxic FNA results of these lesions each were given scores on a scale of zero (benign) to five (malignant), to derive an over-all risk score prospectively applied to 264 suspicious occult lesions of the breast prior to open, biopsy. While all 264 lesions could be assigned a mammographic score, adequate tissue for assignment of a cytologic score could be obtained from 150 lesions. Of the 150 evaluable lesions, 53 were malignant and 97 were benign, historically. With a total score of two as the threshold for open biopsy, 21 of 150 (14 per cent) were proved to be benign, with no false-negative findings. If the total threshold score mandating an open biopsy was raised to four, the comparable figures were 61 of 150 (40 per cent) benign lesions and two false-negative instances of carcinoma in situ. Provided adequate tissue is aspirated for cytologic examination, we conclude that this algorithm has practical value in the management of nonpalpable lesions of the breast in that it can reliably identify a fraction of the benign lesions and spare these patients an operation. ",0,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"Fine needle aspiration biopsy in the diagnosis and management of fibroadenoma of the breast. Cytological and histological biopsies were obtained on 75 breast lumps clinically diagnosed as fibroadenomas. Of these, 95 per cent of lesions were benign. In 51 (68 per cent) confirmed as fibroadenomas histologically, cytology was benign in 78 per cent, but inadequate for diagnosis in 16 per cent. The remaining 24 lesions included three breast cancers and one lymph node with Hodgkin's disease. In this group cytology was inadequate for diagnosis in 54 per cent, including one breast cancer. No lesion with benign cytology was subsequently shown to be malignant. The study supports the view that clinical diagnosis and cytology are accurate in the diagnosis of benign breast disease of this type. Breast cancer may rarely present with the clinical features of a fibroadenoma and too few lesions have been studied to assess fully the performance of cytological biopsy in detecting these small mobile lesions. A non-excisional policy should therefore include prolonged follow-up and repeat biopsy. ",0,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"Clinical recognition and evaluation of peptic ulcer disease. When a patient has epigastric pain that worsens 1 to 3 hours after meals, the possibility of peptic ulcer disease should be considered. Completely typical clinical presentations in patients younger than age 50 justify empirical therapy when no physical or laboratory findings suggest a mimicking disorder. Esophagogastroduodenoscopy should be undertaken when response to therapy is incomplete, symptoms recur quickly, or dyspeptic symptoms present for the first time in a patient older than age 50. When gastric ulcers are diagnosed radiographically, endoscopy and biopsy at multiple sites should be done to exclude malignant disease. Intractable duodenal ulcers may necessitate endoscopic biopsy of antral and duodenal mucosa to rule out an associated Helicobacter pylori infection, which may modify therapeutic approaches. Zollinger-Ellison syndrome is rare but should be suspected when ulcer disease presents atypically or aggressively or in families. Diagnosis is not difficult to confirm. ",1,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"Spinal glioblastomas: report of seven cases and review of the literature. Intramedullary glioblastomas are uncommon tumors. They occur chiefly in the cervicothoracic segments, have a slight tendency to occur in the early decades of life, and have a short clinical history before diagnosis. We report seven cases and discuss the salient features of these tumors, particularly the pathological features and treatment, in light of the relevant literature. ",0,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"Partial nephrectomy for renal cell carcinoma: indications, results and implications. Of 52 patients who underwent partial nephrectomy for tumor 44 were found to have renal cell carcinoma. The indications for this parenchyma-sparing procedure were categorized according to the initial status of the contralateral kidney and included bilateral tumors or tumor in a solitary kidney in 16 patients (mandatory indications), unilateral carcinoma with compromise of the contralateral kidney by a benign disease process in 9 (relative indications) and small peripheral tumor with a normal contralateral kidney in 19 (elective indications). There were 4 recurrences that accounted for 3 deaths, all in patients with mandatory indications. All patients who underwent partial nephrectomy for relative or elective indications were without definite evidence of recurrent disease at last followup (over-all mean 36 months). Our results suggest that conservative surgery can often provide effective and advantageous therapy for renal cancer and we encourage further consideration of the role of partial nephrectomy as an alternative to radical nephrectomy in selected patients with small peripheral tumors and normal contralateral kidneys. ",0,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"Lung cancer in patients younger than 40 years of age. The records of 52 patients younger than 40 years of age who had bronchogenic carcinoma diagnosed between 1965 and 1985 were reviewed. The preponderance of adenocarcinoma (54%), the lower male-female ratio in this age group compared with patients age 40 or older (2:1), the importance of cigarette smoking as a causative factor (80% of patients), the long mean duration of symptoms (5 months), and the high incidence of advanced stage at diagnosis (77% Stages III and IV) in these patients are findings similar to those reported in other published series. There was no significant difference in resectability (23% versus 19%), median survival length (5.3 months versus 6.9 months), median survival length of patients who had surgical resection (10.5 months versus 10.8 months), and 5-year survival rate (11.5% versus 6.3%) in these patients compared with a randomly selected group of 260 patients with lung cancer who were age 40 or older. ",0,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"Bone marrow transplantation for myelodysplasia and secondary acute nonlymphoblastic leukemia. Twenty-three patients with primary myelodysplasia (MDS) or secondary myelodysplasia/acute nonlymphocytic leukemia (MDS/ANLL) were treated with allogeneic or syngeneic bone marrow transplantation (BMT). Only one patient was in a chemotherapy-induced hematologic remission. Graft-versus-host disease prophylaxis included methotrexate, methotrexate plus cyclosporine, cyclosporine, or T-cell depletion using one of two anti-CD5 monoclonal antibodies. For patients with primary MDS, the median age was 19 years (range, 11 to 41 years) and the actuarial disease-free survival was 56% +/- 21% (median follow-up, 2 years; range, 0.8 to 5 years). There were three graft failures (two with autologous recovery) and two early deaths. Outcome appeared to be related to French-American-British (FAB) classification. For patients with secondary MDS/ANLL, the median age was 28 years (range, 3 to 16 years) and the actuarial disease-free survival was 27% +/- 13% (median follow-up, 5 years; range, 2.5 to 8.5 years). There were no graft failures, two relapses, and four early deaths. The presence of marrow fibrosis per se did not predict for graft failure (P = .21); however, the use of T-cell depleted marrow in patients with marrow fibrosis resulted in graft failure in three of five individuals. Our results suggest that in patients with primary MDS or secondary MDS/ANLL, BMT should be considered early in the course of the disease, and that attempts at inducing a remission prior to BMT appeared to be unnecessary. In MDS patients with marrow fibrosis, T-cell depletion should be avoided. ",0,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"High incidence of antibodies to HTLV-I tax in blood relatives of adult T cell leukemia patients. Adult T cell leukemia (ATL) is caused by the human T cell leukemia virus type I (HTLV-I). Although the mechanisms of the leukemogenic process are unknown, the tax gene may have a role in this process. Because clustering occurs with HTLV-I and ATL, members of ATL families were examined for antibodies to the tax protein and compared with matched HTLV-I-positive blood donors. To investigate the antibody response to this protein, a plasmid, pBHX-4, was constructed to express a recombinant tax protein (r-tax). For ATL patients and their HTLV-I antibody-positive blood relatives, the rate of seroreactivity with the r-tax protein was 67.3% (35/52), compared with 51.6% (97/188) for HTLV-I antibody-positive control blood donors (P less than .05). The difference between direct offspring of ATL patients and matched HTLV-I blood donors was even greater (84.2% [16/91] vs. 44.2% [42/95]; P less than .005). Thus, tax antibody positivity in direct offspring of ATL patients may reflect differences in time or route of HTLV-I infection. Alternatively, it might reflect genetic differences in host susceptibility or virus strain. ",0,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"Association between extent of colonic mucosal sialomucin change and subsequent local recurrence after curative excision of primary colorectal cancer. Two interrelated studies were carried out to determine whether extent of sialomucin change adjacent to a primary colorectal carcinoma predicted local tumour invasiveness and risk of local recurrence. In the first, depth of tumour penetration was correlated with the length of the sialomucin band adjacent to 72 primary colorectal cancers. There was a significant (P less than 0.05) increase in sialomucin band length adjacent to tumours invading adjacent structures compared with those which had not (Mann-Whitney U test), although there was no overall correlation between depth of penetration, Duke's classification or degree of differentiation (Kruskal-Wallis test). A sialomucin band of greater than 3 cm was associated with a 70 per cent probability of adjacent structure (T4) invasion. These observations were then tested prospectively in a second study involving 256 patients to determine whether the presence of a greater than 3 cm sialomucin band could predict local recurrence. Presence of a greater than 3 cm sialomucin band was a significant (x2 = 7.12, d.f. = 1, P less than 0.001) and independent predictor of local but not distant recurrence. In addition both the interval to local recurrence and survival were significantly shorter if a greater than 3 cm sialomucin band was present. However the accuracy of greater than 3 cm sialomucin band as a predictive test for local recurrence was only 70 per cent. The extent of sialomucin adjacent to a primary colorectal cancer does provide a crude assessment of tumour invasiveness and risk of local recurrence. ",1,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"Hemorrhagic pituitary adenomas: clinicopathological features and surgical treatment. Forty-five (9.9%) of 453 pituitary adenomas operated on between January 1973 and November 1988 demonstrated hemorrhagic changes at surgery: 24 had a blood collection, 12 had a blood collection associated with hemorrhagic necrosis, and 9 had hemorrhagic necrosis. Thirteen patients (28.9%) experienced the acute symptoms of pituitary apoplexy, whereas another 32 had an ""asymptomatic"" hemorrhage, that is, the clinical course was comparable to an uncomplicated adenoma. Nineteen tumors (42.2%) showed marked suprasellar extension, 8 (17.8%) showed moderate extension, and 11 (24.5%) showed slight extension; another 2 (4.4%) were laterosellar and 5 (11.1%) were intrasellar. Invasive behavior was present in 32 cases (71.1%) and this may suggest another hypothesis to explain the pathogenesis of tumoral hemorrhage. The incidence of hemorrhagic complications in invasive adenomas with marked suprasellar extension was particularly impressive; therefore, we do not suggest preoperative bromocriptine treatment in this type of tumor. Two of 14 patients operated on by the transcranial route died after surgery, whereas there was no operative mortality in the 31 patients operated on by the transsphenoidal route. It proved advantageous to operate as early as possible, even during the acute phase of pituitary apoplexy. The transsphenoidal approach gave the best results, but to achieve satisfactory late results multidisciplinary treatment was necessary, namely, postoperative radiotherapy in 23 patients, bromocriptine in 12, and endocrine replacement therapy in almost all. In an average follow-up period of 6.2 years, 5 (11.1%) symptomatic recurrences were observed. ",0,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"The clinical significance of fluid collections in acute pancreatitis. Computed tomography (CT) displays fluid collections in patients with acute pancreatitis as well defined intra- or extrapancreatic homogeneous areas with low attenuation numbers. We followed, prospectively, the clinical courses of 128 patients who had CT during an episode of acute pancreatitis, to determine the natural history and clinical significance of any fluid collections that developed. Fluid collections were found in 48 (37%) of the 128 patients with pancreatitis. Thirty-eight developed in the 86 (44%) patients with alcoholic pancreatitis, five in the 33 (15%) with biliary pancreatitis and five in the nine (55%) with other causes of pancreatitis (excluding chronic pancreatitis, trauma, or malignancy). On clinical follow-up of the 48 patients with fluid collections, 21 patients required operation; two died before an operation was done and 25 did not require operation. Operations were done to treat pseudocysts (14), abscess (5), and necrosis (3). One patient had an operation for a pseudocyst and an abscess. All 14 patients requiring operation for pseudocyst had collections greater than 7 cm and 13 of these patients had alcoholic pancreatitis. Of the 25 patients not requiring operation, five were lost to follow-up, and 19 of the 20 who had spontaneous resolution of their fluid collection(s) had collections less than 6 cm in diameter. The eight patients who required operative pancreatic debridement for abscess or necrosis had multiple small fluid collections. In summary, fluid collections were found in one-third of patients with acute pancreatitis and were often associated with the development of local complications. ",1,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"Further notes on Munchausen's syndrome: a case report of a change from acute abdominal to neurological type. A rare case of Munchausen's syndrome beginning in early childhood is described. The diagnosis of Munchausen's syndrome was made at the age of 29 years, after the symptoms had changed from acute abdominal to neurological complaints, with feigned loss of consciousness, first ascribed to an encephalitis. Insight into the psychopathology of this patient is given by his biography, by assessment of a psychotherapist, who had treated him some years before, and by his observed profile in some psychological tests. ",1,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"Endoscopic variceal ligation in patients who have failed endoscopic sclerotherapy. Endoscopic variceal ligation has been developed as an alternative to endoscopic sclerotherapy. We report a series of 12 men with a history of bleeding esophageal varices who were treated with endoscopic variceal ligation after they had failed sclerotherapy. Hemostasis was achieved in all 10 patients who were bleeding at the time of initial endoscopy and again in those who subsequently re-bled. Over a follow-up period of up to 22 months, varices have been and remain eradicated in five patients; in four others, a reduction in grade was noted before death (two patients), liver transplant, or loss to follow-up (one patient each); two patients died before they could be re-evaluated, while in the remaining patient, no reduction in variceal grade was noted before loss to follow-up. No complication was recorded after 35 endoscopic treatment sessions involving a total of 245 rubber band ligations. Our results indicate that endoscopic variceal ligation may be used with success in patients who fail sclerotherapy. ",1,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"Treatment of hepatitis B virus-associated membranous nephropathy with adenine arabinoside and thymic extract. Previously we found that corticosteroid treatment in the hepatitis B virus (HBV)-associated membranous nephropathy (HBVMN) was not associated with a favorable outcome. To distinguish the differences of the HBV DNA in macrophage, T and B cells among HBVMN patients with or without corticosteroid treatment, serial studies at different time points were investigated. HBV DNA appeared as an ""episomal"" molecule as with 3.2 kb in macrophage, T and B cells. This molecule disappeared after 12 months among HBVMN patients without corticosteroid treatment. HBV DNA, by contrast, appeared as episomal form even three years later in T cells, with frequent proteinuria among HBVMN patients with corticosteroid treatment. This finding indicates that the use of corticosteroids leads to a potential risk of enhancing HBV viral replication in T cells. We studied 24 HBVMN patients who had previously received corticosteroid treatment and had persistent proteinuria, who were administered combination therapy with adenine arabinoside for two weeks and thymic extract (Thymostimulin) for six months to decrease urine protein loss and obtain seroconversion. These 24 patients had heavy (22 of 24, 91.6%) or mild (2 of 24, 8.4%) proteinuria prior to adenine arabinoside and thymostimulin treatment. All 24 patients demonstrated HBV DNA in mononuclear cells and simultaneously exhibited sera positive with HBsAg and HBeAg. In contrast, after treatment only one case (4.2%) had heavy and two cases (8.4%) mild proteinuria; HBV DNA was demonstrated in macrophage (4 of 24, 16.7%), T cells (9 of 24, 37.5%), and B cells (6 of 24, 25%) as well as serum (24 of 24, 100%) prior to treatment. ",1,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"Stomal adenocarcinoma in Crohn's disease. Malignant change occurring at the site of a stoma in two patients with proved Crohn's disease is described. Patients with ulcerative colitis have an increased risk of colonic malignancy and Crohn's disease is also associated with both small and large bowel carcinoma. Most previous reports of stomal carcinoma have been associated with ulcerative colitis although Crohn's disease seems to carry a greater risk of associated small bowel carcinomas. This is the first report of stomal carcinoma complicating Crohn's disease. Epithelial dysplasia is associated with gastrointestinal carcinomas in both ulcerative colitis and Crohn's disease and a dysplasia-carcinoma sequence has been suggested as the origin of these tumours. In both our patients with stomal adenocarcinoma, dysplasia was identified in adjacent tissues, which suggests a similar mechanism. Malignant change should be suspected if epithelial dysplasia is discovered in a biopsy specimen from the mucosa of an ileostomy in Crohn's disease, and this risk is increased if the dysplasia is of a high grade. ",1,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"Nitrite from inflammatory cells--a cancer risk factor in ulcerative colitis? Elevated levels of luminal nitrite and a lowered luminal pH were found in 77 percent of patients with acute ulcerative colitis. No luminal nitrite was found in healthy control subjects. Nitrites are a secretory product of activated macrophages and neutrophils of the lamina propria, whereas the lowered luminal pH is due to diminished bicarbonate formation by impaired colonocytes. A hypothesis is put forward that nitrites, lowered pH, and bacterial amines are conducive to formation of carcinogenic n-nitroso compounds, which reflect a cancer risk in patients with ulcerative colitis dependent on the type and extent of inflammatory cell activation as well as metabolic impairment of colonic epithelial cells. ",1,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"Gracilis muscle transposition for faecal incontinence. Transposition of the gracilis muscle for faecal incontinence was performed in 13 patients. Six gained satisfactory continence, four were improved, two did not benefit from the operation and one patient died from intercurrent disease before closure of a pre-existing colostomy. Anal manometry compared with a control group showed no alteration in resting and pressure at a median of 35 mmHg (range 5-63 mmHg), whereas maximum squeeze pressure increased from a median of 38 mmHg (range 5-79 mmHg) to 59 mmHg (range 10-143 mmHg) (P = 0.041) which was, however, significantly lower than 130 mmHg (range 81-236 mmHg) in the control group. All patients who benefited from the operation had an increase in maximum squeeze pressure. The ability to retain a viscous fluid in the rectum was measured in seven patients, four of whom had gained satisfactory continence and three of whom had improved continence. They were able to retain a median volume of 200 ml (range 50-225 ml) without leakage compared with 325 ml (range 250-400 ml) in the control group. These patients could retain the maximum amount of viscous fluid for 5-8 min, whereas all control subjects could do so for more than 15 min. It is concluded that, although gracilis transposition never results in normal continence, acceptable continence may be achieved in selected patients provided careful attention is paid to the technical details of the procedure and provided that systematic postoperative exercises are performed. ",1,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"Alternate-day prednisone treatment and treatment maintenance in Crohn's disease. We have reviewed our data from 55 patients with Crohn's disease (CD) treated with alternate-day prednisone (average dose: 25 mg every other morning) between 1966 and 1989 for a mean duration of 6.6 yr. Daily divided corticosteroid doses were given to all patients with active disease that had not been responsive to supportive measures and, in almost all cases, not responsive to sulfasalazine alone. After initial remission was achieved, patients were switched to alternate-day doses. Treatment evaluations utilized global assessment and the CD activity index of Harvey and Bradshaw (CDAI-HB) shown to correlate closely with the National Cooperative Crohn's Disease Study (NCCDS) activity index (CDAI). CDAI-HB scores of 0-1 indicated no or minimal activity, whereas scores of 2-15 indicated progressive activity. With the CDAI-HB and global assessments, in agreement in all cases, 33 patients (60%) showed favorable responses with 95% confidence intervals (CI) of 46.8 to 73.2. Comparing the results with a literature-based 20% spontaneous long-term remission rate, the data are significant at p less than 0.01. Serious complications were gratifyingly low, with no observed instances of osteonecrosis. It is concluded that alternate-day prednisone treatment and treatment maintenance, with or without concomitant sulfasalazine, after conventional induction of remission with daily steroid doses, is a reasonable treatment option for patients with CD not responsive to sulfasalazine alone. ",1,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"Immunohistochemical demonstration of pancreatic secretory trypsin inhibitor in normal and neoplastic colonic mucosa. Specimens of normal and neoplastic colonic mucosa from 52 patients were analysed by immunohistochemistry using a monospecific polyclonal antiserum against human pancreatic secretory trypsin inhibitor (PSTI). In normal colonic mucosa PSTI was found in the goblet cells in the basal parts of the crypts. In adenomas of tubular, villous, and tubulo-villous types PSTI was also found in the upper parts of the polyps, usually occurring in the regeneration zone. There was a more intense staining reaction in polyps with increased atypia. Carcinomas of different types and of various grades of differentiation and of in situ type did not contain PSTI. These findings indicate that PSTI could be a marker for adenomatous rather than carcinomatous epithelium in the colon. Furthermore, the absence of the inhibitor in malignant cells might facilitate tissue invasion by malignant cells because of deficient protease inhibition. ",1,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"Malignant potential of juvenile polyposis coli. Report of a case and review of the literature. Juvenile polyps of the colon and rectum traditionally have been viewed as being benign inflammatory or harmartomatous lesions without potential for malignant change. The authors report a case of adenocarcinoma developing in a patient with sporadic juvenile polyposis. Juvenile polyposis was diagnosed in the patient at age 4 years. He underwent subtotal colectomy at age 6 years. At age 12, he underwent a proctectomy and a Swenson pull-through because of adenomatous changes in the rectal stump. At age 19 surveillance endoscopy revealed invasive cancer in a juvenile polyp. ",1,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
